style_weight,decoder,psnr,ssim,lpips,inference_time_ms
10,UNetDecoder,11.643759613791556,0.41812018,0.4015756845474243,2.0723342895507812
10,UNetDecoder,11.588580034102806,0.50705606,0.3400281071662903,1.7371177673339844
10,UNetDecoder,12.300494045014347,0.52732414,0.33336424827575684,1.7459392547607422
10,UNetDecoder,13.238129312321094,0.55387926,0.356687992811203,1.8851757049560547
10,UNetDecoder,12.05577544173323,0.5578236,0.3165699541568756,1.7468929290771484
10,UNetDecoder,11.873973944036715,0.55662876,0.31711024045944214,54.531097412109375
10,UNetDecoder,11.74296441912416,0.53631574,0.2895503044128418,1.7747879028320312
10,UNetDecoder,11.367149083843863,0.43432176,0.35461026430130005,1.7664432525634766
10,UNetDecoder,11.864696144403556,0.46483406,0.3324168920516968,1.7566680908203125
10,UNetDecoder,11.705163177303746,0.48795816,0.30196958780288696,1.8396377563476562
10,UNetDecoder,11.948450587378307,0.45676103,0.39265769720077515,1.7690658569335938
10,UNetDecoder,11.909799342156882,0.5093672,0.3182949125766754,2.246379852294922
10,UNetDecoder,11.567708093695341,0.50569326,0.3385409414768219,1.7766952514648438
10,UNetDecoder,11.779727455871964,0.48833624,0.3454410135746002,1.9001960754394531
10,UNetDecoder,12.278207582196652,0.51559037,0.32840681076049805,1.7361640930175781
