style_weight,decoder,psnr,ssim,lpips,inference_time_ms
3,BaselineDecoder,6.0950786064386655,0.2587789,0.41543132066726685,3.3445358276367188
3,BaselineDecoder,6.36402959786206,0.24881272,0.45599693059921265,2.8951168060302734
3,BaselineDecoder,6.416623815699016,0.19785684,0.4528033137321472,2.8922557830810547
3,BaselineDecoder,6.374989879581253,0.25865772,0.42854276299476624,2.874612808227539
3,BaselineDecoder,5.948233272035051,0.23906374,0.44889822602272034,3.125429153442383
3,ResNetDecoder,7.65854271678722,0.18116777,0.4452785849571228,5.135059356689453
3,ResNetDecoder,7.908713767605835,0.32109705,0.38284435868263245,4.89354133605957
3,ResNetDecoder,7.403537656863051,0.21485223,0.4413367807865143,5.0449371337890625
3,ResNetDecoder,7.821152937866442,0.32749853,0.367686927318573,4.99272346496582
3,ResNetDecoder,7.088295166199438,0.2924182,0.3945431113243103,5.065441131591797
3,AttentionDecoder,7.463842842366047,0.3022561,0.4008522629737854,4.087209701538086
3,AttentionDecoder,6.631412516203476,0.27259734,0.42301684617996216,3.7877559661865234
3,AttentionDecoder,5.918119996079955,0.24306965,0.4255481958389282,3.795623779296875
3,AttentionDecoder,6.7773097453153195,0.279066,0.411824107170105,3.7517547607421875
3,AttentionDecoder,7.046403957784402,0.2906715,0.40690553188323975,3.742218017578125
3,UNetDecoder,9.665758919865514,0.61306596,0.286022424697876,3.253459930419922
3,UNetDecoder,9.704904421468898,0.6208797,0.24544952809810638,2.948760986328125
3,UNetDecoder,10.557549488372759,0.6760381,0.2459176778793335,3.0744075775146484
3,UNetDecoder,10.06838278752361,0.62633187,0.2532183825969696,2.9439926147460938
3,UNetDecoder,10.161673218900907,0.64353675,0.2146473079919815,2.957582473754883
7,BaselineDecoder,5.99649505190722,0.21488976,0.46286970376968384,3.0722618103027344
7,BaselineDecoder,6.223274537809519,0.22150005,0.44811731576919556,2.840280532836914
7,BaselineDecoder,5.856770812680814,0.20628111,0.47707030177116394,2.9075145721435547
7,BaselineDecoder,5.972814889726292,0.21068196,0.4752282500267029,2.9053688049316406
7,BaselineDecoder,6.158711398830745,0.16811098,0.4869076609611511,2.916574478149414
7,ResNetDecoder,8.214522704384644,0.26517618,0.44580763578414917,5.203485488891602
7,ResNetDecoder,9.440171416347239,0.29857913,0.4344802498817444,4.970073699951172
7,ResNetDecoder,8.60785348989058,0.26972607,0.4312976598739624,4.949331283569336
7,ResNetDecoder,8.391785967177261,0.27937034,0.45075488090515137,4.991292953491211
7,ResNetDecoder,7.934208725998259,0.15046567,0.5302135944366455,5.102872848510742
7,AttentionDecoder,6.694652133568898,0.24497981,0.4736916422843933,4.017353057861328
7,AttentionDecoder,6.441158887040965,0.23977678,0.480289101600647,3.7691593170166016
7,AttentionDecoder,7.335542051462537,0.2479248,0.4571595788002014,3.731966018676758
7,AttentionDecoder,6.498392414607558,0.16231583,0.5399907827377319,3.6678314208984375
7,AttentionDecoder,7.248982407950285,0.14718784,0.5413156151771545,3.734111785888672
7,UNetDecoder,10.967626876996231,0.58747977,0.32274600863456726,3.1898021697998047
7,UNetDecoder,10.169803447016205,0.55300516,0.40131670236587524,2.923727035522461
7,UNetDecoder,10.694945422760764,0.53816885,0.4134504199028015,2.922534942626953
7,UNetDecoder,10.81507036235843,0.61216617,0.3056565225124359,2.924203872680664
7,UNetDecoder,10.044265333632783,0.5274969,0.4108739495277405,2.919435501098633
10,BaselineDecoder,6.343636232229478,0.23232104,0.46089836955070496,3.092050552368164
10,BaselineDecoder,5.9126056634653175,0.21185501,0.48608434200286865,2.821683883666992
10,BaselineDecoder,5.829566601745412,0.19269924,0.5059358477592468,2.8367042541503906
10,BaselineDecoder,5.904298501163607,0.2044584,0.5667939186096191,2.866506576538086
10,BaselineDecoder,5.592634629125996,0.19252126,0.5114352703094482,3.6628246307373047
10,ResNetDecoder,7.8753075884342145,0.13722648,0.5269319415092468,5.344867706298828
10,ResNetDecoder,8.43766341107708,0.23878038,0.4852434992790222,4.879474639892578
10,ResNetDecoder,8.556824370505808,0.22202456,0.468881756067276,5.002260208129883
10,ResNetDecoder,8.41656974962431,0.18423183,0.5127114653587341,4.989862442016602
10,ResNetDecoder,8.805506421017576,0.2687529,0.4560602605342865,5.478143692016602
10,AttentionDecoder,8.24190658797379,0.22194958,0.4844769537448883,4.73332405090332
10,AttentionDecoder,7.781379975871712,0.27745584,0.4773445725440979,4.14729118347168
10,AttentionDecoder,7.6894207026951955,0.13127388,0.5153871178627014,4.086732864379883
10,AttentionDecoder,7.571193874564966,0.20229846,0.512052059173584,4.053831100463867
10,AttentionDecoder,7.871261015259126,0.28552482,0.45677268505096436,4.1179656982421875
10,UNetDecoder,11.836745291226086,0.5931763,0.3759361207485199,3.5352706909179688
10,UNetDecoder,10.124339350109597,0.5166496,0.4507688283920288,3.3235549926757812
10,UNetDecoder,10.05418591824153,0.5187642,0.3773832321166992,3.5636425018310547
10,UNetDecoder,10.127883248081995,0.52503014,0.4336232841014862,3.536224365234375
10,UNetDecoder,10.399562684519818,0.56026536,0.3767344355583191,3.4971237182617188
20,BaselineDecoder,5.513042706953701,0.18360412,0.5351142883300781,3.726959228515625
20,BaselineDecoder,5.594124782467123,0.14939235,0.5384194850921631,3.236055374145508
20,BaselineDecoder,5.540363455706931,0.1424553,0.5433562994003296,3.2439231872558594
20,BaselineDecoder,5.58906118958836,0.07254774,0.5933676362037659,3.2176971435546875
20,BaselineDecoder,5.777870183521814,0.18841727,0.521664559841156,3.208637237548828
20,ResNetDecoder,8.459392957391678,0.24663359,0.544188380241394,5.779504776000977
20,ResNetDecoder,8.350748784092925,0.26114026,0.5104999542236328,5.480289459228516
20,ResNetDecoder,7.602970242110638,0.17250831,0.5748229622840881,5.269527435302734
20,ResNetDecoder,8.292997019429706,0.21408504,0.5540418028831482,5.993366241455078
20,ResNetDecoder,7.8582807574430795,0.16146101,0.5684068202972412,5.223751068115234
20,AttentionDecoder,6.487312743056389,0.1550964,0.5918864011764526,4.377126693725586
20,AttentionDecoder,6.272652166027612,0.13820748,0.5875509977340698,4.070043563842773
20,AttentionDecoder,6.3223735588508765,0.14697616,0.5969238877296448,4.051923751831055
20,AttentionDecoder,6.341265420097672,0.18389232,0.5852775573730469,4.0454864501953125
20,AttentionDecoder,6.181830710808956,0.1260916,0.628680944442749,4.144906997680664
20,UNetDecoder,9.366673900971028,0.40205827,0.44728243350982666,3.5631656646728516
20,UNetDecoder,9.013295853684266,0.42525366,0.4398013651371002,3.370523452758789
